"","OTU_ID","baseMean","estimate","stderror","statistic","p.value","p.adjusted","Sig","pH_Enrichment","Comparison","Site","Type","bonferroni"
"1","ML_GL_S1_1_4_S355_L004_1084",1082.92578608056,-12.8521691464653,1.28481564118635,-10.0031231987479,1.47664996603019e-23,2.0947334518114e-21,"S","5","4_5","McLaughlin","Tech",1.75957609952158e-19
"2","ML_GL_S1_1_4_S355_L004_124",7134.03037428929,-1.38297554403186,0.263620246413467,-5.24609002095677,1.55361012679469e-07,2.09895898762875e-06,"S","5","4_5","McLaughlin","Tech",0.00185128182708855
"3","ML_GL_S1_1_4_S355_L004_1277",491.528067842507,-12.086581708109,2.56241695605817,-4.71686767430001,2.39503349662265e-06,2.41970671840764e-05,"S","5","4_5","McLaughlin","Tech",0.0285392191457555
"4","ML_GL_S1_1_4_S355_L004_1693",4088.45301989356,1.16402168136827,0.177906917319839,6.54286915261202,6.03496302721075e-11,1.99757276200676e-09,"S","4","4_5","McLaughlin","Tech",7.19126194322433e-07
"5","ML_GL_S1_1_4_S355_L004_1773",170.743149854301,-23.8588395642428,4.24719359078782,-5.61755405169022,1.93679595836185e-08,3.20539731108885e-07,"S","5","4_5","McLaughlin","Tech",0.000230788606398398
"6","ML_GL_S1_1_4_S355_L004_2556",1503.82309124067,-24.3721802528255,4.24711373652712,-5.73852780141336,9.55030877776269e-09,1.8237416569843e-07,"S","5","4_5","McLaughlin","Tech",0.00011380147939582
"7","ML_GL_S1_1_4_S355_L004_2571",195.159609905824,-24.0181549679925,4.24717860557457,-5.65508475119644,1.55769390624622e-08,2.77650907096968e-07,"S","5","4_5","McLaughlin","Tech",0.000185614805868299
"8","ML_GL_S1_1_4_S355_L004_2768",1248.39019301513,-13.373420640053,1.26757802463782,-10.5503727424386,5.05959705964583e-26,1.43547996577952e-23,"S","5","4_5","McLaughlin","Tech",6.02901585627398e-22
"9","ML_GL_S1_1_4_S355_L004_3085",98.3854956310081,-22.2123217366158,4.24741863953312,-5.22960499581397,1.69872602859828e-07,2.27950668432175e-06,"S","5","4_5","McLaughlin","Tech",0.00202420193567771
"10","ML_GL_S1_1_4_S355_L004_3141",717.693268586977,0.728589395216447,0.105199289373226,6.92580149122071,4.33514006655573e-12,1.62445059852447e-10,"S","4","4_5","McLaughlin","Tech",5.16575290330781e-08
"11","ML_GL_S1_1_4_S355_L004_33",678.146998953777,-12.1615202860477,1.99900300738979,-6.08379289130118,1.17372202267084e-09,2.84269748417596e-08,"S","5","4_5","McLaughlin","Tech",1.39860716221457e-05
"12","ML_GL_S1_1_4_S355_L004_3807",550.15054140025,-12.1815754531598,1.96866147142974,-6.18774514051568,6.10308937806955e-10,1.61609806731282e-08,"S","5","4_5","McLaughlin","Tech",7.27244130290768e-06
"13","ML_GL_S1_1_4_S355_L004_4031",978.85994945593,13.7918272759804,1.99481699657527,6.91383084245745,4.71737655627380e-12,1.73494626680737e-10,"S","4","4_5","McLaughlin","Tech",5.62122590445587e-08
"14","ML_GL_S1_1_4_S355_L004_4063",243.139354503274,25.0770642713002,4.12373855532202,6.08114795224742,1.19325120318995e-09,2.85517697534367e-08,"S","4","4_5","McLaughlin","Tech",1.42187813372115e-05
"15","ML_GL_S1_1_4_S355_L004_4189",250.717475573573,-24.2304456542823,4.24716050150577,-5.70509300171061,1.16279582150809e-08,2.17859669954251e-07,"S","5","4_5","McLaughlin","Tech",0.000138558750090904
"16","ML_GL_S1_1_4_S355_L004_4325",7072.84999329877,0.330840927617214,0.0701271827555273,4.71772734362607,2.38493825185933e-06,2.41970671840764e-05,"S","4","4_5","McLaughlin","Tech",0.0284189242091558
"17","ML_GL_S1_1_4_S355_L004_4524",8560.71836556971,-0.635648984356166,0.112888717772144,-5.63075741226125,1.79419939443323e-08,2.99927306180142e-07,"S","5","4_5","McLaughlin","Tech",0.000213796799840664
"18","ML_GL_S1_1_4_S355_L004_4526",3021.86337491532,0.937041415166582,0.128176132776288,7.31057643002888,2.65998795587085e-13,1.12398640007649e-11,"S","4","4_5","McLaughlin","Tech",3.1696416482157e-09
"19","ML_GL_S1_1_4_S355_L004_651",1536.27380007356,-13.7759040268181,1.21059889117848,-11.3794123943131,5.2955327576064e-30,5.25846402830315e-27,"S","5","4_5","McLaughlin","Tech",6.31015683396378e-26
"20","ML_GL_S1_1_4_S355_L004_931",94.2048534061183,22.9999851365892,4.24806592658875,5.41422509303158,6.15546931447514e-08,9.33187943400583e-07,"S","4","4_5","McLaughlin","Tech",0.000733485723512858
"21","ML_GL_S1_1_5_S356_L004_118",1376.9577919951,-27.0940110703883,4.24705183732425,-6.37948678475708,1.77682416392285e-10,5.42888121469351e-09,"S","5","4_5","McLaughlin","Tech",2.11726367373047e-06
"22","ML_GL_S1_1_5_S356_L004_1322",274.734514281942,-23.0640968280616,4.09520001772435,-5.63198298696972,1.78149261029919e-08,2.99927306180142e-07,"S","5","4_5","McLaughlin","Tech",0.000212282659443252
