Contig	AN_BR1_4	AN_BR1_5	AN_BR1_6	AN_BR1_8	AN_BR2_4	AN_BR2_5	AN_BR2_6	AN_BR2_8	AN_BR3_4	AN_BR3_5	AN_BR3_6	AN_BR3_8	AN_TR1_4	AN_TR1_5	AN_TR1_6	AN_TR1_8	AN_TR2_4	AN_TR2_5	AN_TR2_6	AN_TR2_8	AN_TR3_4	AN_TR3_5	AN_TR3_6	AN_TR3_8	BB_TR1_4	BB_TR1_5	BB_TR1_6	BB_TR1_8	BB_TR2_4	BB_TR2_5	BB_TR2_6	BB_TR2_8	BB_TR3_4	BB_TR3_5	BB_TR3_6	BB_TR3_8	BB_BR1_4	BB_BR1_5	BB_BR1_6	BB_BR1_8	BB_BR2_4	BB_BR2_5	BB_BR2_6	BB_BR2_8	BB_BR3_4	BB_BR3_5	BB_BR3_6	BB_BR3_8	ML_BR1_4	ML_BR1_5	ML_BR1_6	ML_BR1_8	ML_BR2_4	ML_BR2_5	ML_BR2_6	ML_BR2_8	ML_BR3_4	ML_BR3_5	ML_BR3_6	ML_BR3_8	ML_TR1_4	ML_TR1_5	ML_TR1_6	ML_TR1_8	ML_TR2_4	ML_TR2_5	ML_TR2_6	ML_TR2_8	ML_TR3_4	ML_TR3_5	ML_TR3_6	ML_TR3_8
AN_RF_S2_1_4_S343_L004_1000_fragment_1	4842	3604	3010	5164	127	67	81	137	926	935	882	739	2	2	0	0	6	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
AN_RF_S2_1_4_S343_L004_1003	16061	14507	13623	15360	180	340	218	314	6480	5366	7618	5028	2003	2617	1812	1775	2227	3068	2419	1520	1827	1705	1829	1671	2	0	0	1	4	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	6	1	7	2	5	6	3	5
AN_RF_S2_1_4_S343_L004_1008	4056	1599	969	1169	6	13	10	44	0	2	0	2	1887	2171	2813	1597	1487	1977	1077	1038	1093	1141	1351	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	3	0	14	0	0	4	0	0	2	0
AN_RF_S2_1_4_S343_L004_1021	8756	9524	16941	7855	32	48	32	16	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1041	5531	3726	4949	5562	32	43	32	62	914	1193	948	571	1568	2537	1897	2075	1438	2558	1546	1453	1973	1251	1415	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	2	0	0	1	0	0
AN_RF_S2_1_4_S343_L004_104	5074	4182	2861	5051	87	75	195	69	1491	1659	1254	1047	388	377	239	253	496	646	458	339	312	314	248	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1053	5171	14749	3826	11516	2312	3966	1122	1364	19110	21018	23221	15031	2168	2362	1764	1929	4863	2618	2018	5240	2554	1527	1468	4337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	2	2	2	2
AN_RF_S2_1_4_S343_L004_1064	16432	27531	20614	42635	33	14	34	16	8	6	3	2	1	1	4	4	1	2	2	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1073	7976	580	2251	1930	1279	654	1110	486	656	1331	557	568	4434	1851	6912	7336	3695	4033	2681	2281	4507	2251	2196	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	14	4	10	7	10	3	72	18	5	4	15	11	12	8	24	14	10	9	7	19	7	14
AN_RF_S2_1_4_S343_L004_1074	3617	4124	2820	5377	29	21	17	20	1	3	1	1	1	1	2	7	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
