"","AN_BR1_4","AN_BR1_5","AN_BR1_6","AN_BR1_8","AN_BR2_4","AN_BR2_5","AN_BR2_6","AN_BR2_8","AN_BR3_4","AN_BR3_5","AN_BR3_6","AN_BR3_8","BB_BR1_4","BB_BR1_5","BB_BR1_6","BB_BR1_8","BB_BR2_4","BB_BR2_5","BB_BR2_6","BB_BR2_8","BB_BR3_4","BB_BR3_5","BB_BR3_6","BB_BR3_8","ML_BR1_4","ML_BR1_5","ML_BR1_6","ML_BR1_8","ML_BR2_4","ML_BR2_5","ML_BR2_6","ML_BR2_8","ML_BR3_4","ML_BR3_5","ML_BR3_6","ML_BR3_8","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"AN_RF_S2_1_4_S343_L004_1000_fragment_1",14.0676630288849,10.3584399886286,9.25265194525061,11.2278934911442,0,0,0,0,2.48287539601727,2.37110964994087,2.53813705872177,2.17127764937176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1003",37.9913549498134,33.9138543706617,34.2974312830337,27.3587174760088,0,0,0,0,14.0852125769431,11.1267132430633,17.8187649286703,12.0986614810725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87736180779029,6.63630504646286,4.2620172187125,4.31000167570485,5.25062512280865,5.9402086341058,5.75074332391894,0,5.13448548505094,5.2514450469073,5.78721572521043,5.3025071149102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1008",14.9499921997754,5.82589003299068,3.81058441182136,3.24185187936578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1598902379234,8.60602664172304,10.3190283294648,6.00172787294237,5.42918746429882,5.96441839240121,3.96494723302748,4.36701198734139,4.77347016789301,5.45397301065356,6.65436377313562,8.44792941053476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1021",21.862515251167,23.4474557418592,44.9672957471458,14.7346236641769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1041",18.1050877287736,12.0083213689468,17.2551168675839,13.6583100827942,0,0,0,0,2.73840385127901,3.44002401596425,3.06370801920508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27728167538497,8.88177819432881,6.13808346638249,6.96289752911332,4.68108011758178,6.76910587437536,5.06239700706636,5.46873591344901,7.69216997166594,5.31782214985894,6.1069322235014,8.17823939657076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_104",10.8293001626631,8.81220593412512,6.47412214470003,8.09906201474096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1053",15.7399386546501,44.4660323536021,12.4102148224665,26.3457962586695,6.65144522949477,10.7798141353813,3.41706460751362,3.84208166613056,53.5372579639728,56.2089833305825,69.7927469924265,46.4714193045061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76213051702757,7.70905793352048,5.32036615936993,6.07672137438761,14.6646431699561,6.49607888393209,6.17530514426829,18.4311487916917,9.24729040015413,6.05436658211834,5.91256885204741,17.7512743608199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1064",34.1142350403317,56.5880233816135,45.5308877159795,66.5430987808601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1073",17.1631860909049,0,5.1478073422226,3.10906034031967,2.6191523297627,0,2.3689364384069,0,0,2.52355546666365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8177379656036,4.26651997985493,14.7507054444569,16.2104839379875,7.86279830794815,7.07643912205105,5.80403465478882,5.67595664344811,11.514149813475,6.28549859204631,6.30437714059281,4.58650805920774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1074",10.5524356862646,11.9272796920714,8.78770643295944,11.7807470975042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
