"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"BB_BR1_CB_S108_L002_100",9.87588824425824,7.33536484341335,15.581894021458,20.319557234896,15.3286007893414,23.1030092052925,56.2174950387212,26.9542155861054,0,0,2.00413004894207,2.50048957022754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1010",29.5761338142456,40.5299280809404,12.2505656676028,21.4816814013627,5.97280238577486,4.9564468406094,3.22593177089129,4.21999785159616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1014",13.8246457030007,16.9980616578682,10.3073713546178,11.7178287312362,16.5211564046178,23.6623602996277,14.2283649487561,18.0736498225835,13.4854051283446,12.0568807665593,28.303828685172,20.0659613371951,115.836311879636,97.2088464642067,108.511338774451,84.4129339185679,83.2245911322996,82.8673650962211,105.946525018227,92.3245576874742,79.0911555019996,106.086953937837,62.8898167065296,85.0995717226604,79.4758050877292,66.841840481921,71.7433585105785,59.6119846365715
"BB_BR1_CB_S108_L002_1021",6.31845811297254,3.09803451133306,7.62592671564802,2.71529204342011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1043",73.2782881602593,84.4990686287783,113.01208508691,151.556124762868,75.9249673194262,85.1594281895651,134.946056999784,149.242205824199,8.0478446393577,11.5284907481962,6.43510228528125,25.9994821824314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1047",17.3151363377192,29.3740956723424,12.0861545331076,16.873209614695,20.3666946437076,45.9923237149918,21.0778544066083,46.6257724666469,12.9256631626996,24.1670923128127,19.9899092380809,27.8064783871771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1079",116.060538544176,113.336867294021,16.0290007573476,52.6912675029096,55.4228842447174,53.0132877917724,13.8583549131596,41.2082041825826,591.335830215519,226.213396444554,73.9192452947068,174.979253587634,35.5293182098001,39.7645370264356,17.1338495949204,13.5270488386366,33.7264310549222,34.9499949785089,12.6166385098227,18.9920382331834,24.9532218470745,22.6443284188237,16.1575954711086,20.9152763331421,19.2148274484564,22.940840472941,19.2972735178129,16.0187127649007
"BB_BR1_CB_S108_L002_1080",63.7396332949408,65.4840507148383,16.7907698221575,40.5409916622596,16.2341739258653,18.9749348926565,11.0074506437771,23.0223372302176,74.0326781530829,50.0593255061495,55.0939431333811,53.302512701203,84.766224485043,94.2031306686094,64.0017815003722,41.3936520043593,75.9207618293858,94.930462817713,59.4032505715988,57.4294375871338,53.9644140556175,68.4508163650954,47.8398284644777,63.8838702112394,64.3788287984167,47.9990764203128,61.3858448021654,60.9869734516966
"BB_BR1_CB_S108_L002_1091",11.538722038606,8.91722725847713,9.06916747017327,23.5927732258057,4.49250331985276,4.38870333253719,1.73576872697876,6.18255027788318,14.3277230847021,33.3664573129981,10.0577363135631,36.5196781453335,4.84568391341996,6.44096513022666,2.4425458955082,2.32714381288011,4.09181927839216,7.41048483590473,2.93703042594621,3.07504799842002,4.33066904143853,7.33435062869045,4.16037930471898,5.75522825774485,7.21792734152777,4.34218044113337,6.45091026201217,5.96855452777037
"BB_BR1_CB_S108_L002_1112",10.2422293445637,7.92172496454584,9.28799184017336,7.28557149005692,0,3.22122264243234,0,2.44086454934319,3.40984322475785,3.66773248249562,0,3.5402719385699,3.91679788692864,0,4.62035821791505,3.24775696111843,4.88052024056967,0,4.14564556272173,3.4597452675871,4.0865461508848,3.76898350451104,2.39476074677296,4.11931364753562,2.8085096036355,4.16641764490226,3.96833745326051,3.61180701320916
"BB_BR1_CB_S108_L002_1115",9.67705909670501,9.65451915625602,8.60570132320133,8.30232801584121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_113",10.9075521874503,10.6545032528849,4.93016856140781,9.00651059005691,2.41520914487697,2.43315644448113,0,1.88452950561062,100.671461039588,33.2136933568426,2.22090192950457,4.46586900707722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1147",27.6961116374001,16.3379757010577,5.53610821619642,14.4139373197485,14.2716104981401,9.5986937972589,3.80603283265052,16.7776484316586,5.79447172359001,2.74610695608863,2.38262331839735,2.67621459423171,14.7285720485676,17.5376549321693,7.11304632783768,4.4704234786149,14.3781555113327,14.7770473757671,7.21317556195633,5.92010512281713,7.63072701039311,11.1099400058277,8.23043533799239,8.77215022235329,8.1034501550461,7.48846166641385,8.88228232005274,8.33167135520896
"BB_BR1_CB_S108_L002_1149",24.0883536591318,19.6126577824362,12.2131088295721,15.5928353655238,11.2856421404934,13.4176742509553,9.34184837884639,13.68765615615,9.39338657395067,8.55534523060629,5.42405632803999,7.66420463878261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1157",26.1067566057345,40.7951576110506,113.967642066735,25.3475662469024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1159",26.4608813376826,21.9165210257192,8.144397673764,19.1212968272908,4.72066144407233,2.99319238116281,0,6.04324333071841,35.9665670628747,31.496794478208,33.9029456011825,29.4184517046826,16.5691854394268,20.9845250619518,24.7754267230435,13.9844629327682,13.8418721924923,22.6743178265831,24.0357200163575,20.6080182407096,10.6512054772328,14.3672987308767,11.354443080086,14.5803134395993,13.4726462159654,11.2592230709699,14.1891899814188,13.3526114146238
"BB_BR1_CB_S108_L002_1161",12.6025702368115,13.4800613839611,19.8846328608342,6.9934620261016,0,3.38435754532383,2.82518496724268,1.63792474692037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1162",11.7601896182696,15.5091422579699,14.5565753040265,18.978057932554,44.3169886847171,72.5365161658967,109.591262109915,60.6166096397251,0,1.98975982212576,2.12077910559267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1174",31.7022276793699,31.6298565902731,46.8020530905993,65.4144466797142,19.4937472235364,13.5155176364661,14.9165764805015,19.7282831168045,0,0,2.2516080381809,2.31971670639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1196",19.8125206868555,17.0146173137472,24.2297261713146,16.3489088328726,21.3195656714986,28.2898392681499,27.3172326930143,19.160260618315,13.2471726719153,10.9992912565729,23.3845070274685,12.4129634178398,33.3608187312585,33.4714849720485,33.2607552076412,25.306646666887,29.8640107700661,39.623684803096,31.9823477870138,31.0479124805631,27.3065616073251,26.872079844073,31.6446432199382,37.2161208855825,31.3752690964466,26.3190500679671,36.3628053001186,37.879795011791
"BB_BR1_CB_S108_L002_1203",121.442401683955,193.243185039098,62.8224967423981,154.409074100767,60.4951339405273,43.6383745301997,17.9548363973941,44.9983811145594,324.809409646547,392.091215517777,170.717798745264,349.151858532611,73.2658346017678,93.3522416359813,37.0074884784387,34.3903602564738,65.9506178005395,87.6662668158047,33.8086659453538,46.5592475721509,34.6059731143791,37.6132978782526,46.6901202938559,55.4299248656976,40.6632036533827,36.5109824989388,55.9087553802845,52.0790676979015
"BB_BR1_CB_S108_L002_1217",34.5571917403831,46.8312030706676,62.9703139998565,43.7514482877286,0,0,0,0,0,2.8692343391159,4.00127717637845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1255",39.5603260395992,37.4155846667004,11.5958573648065,22.1544295857827,16.7656292665027,22.6216869729054,16.3232890868507,21.3077615151475,3.85511099978836,3.48006347059919,2.56560290226629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1274",7.62888334255021,7.47715080545297,3.39696772908445,5.40406643383668,13.1042886798828,8.45887707874135,4.91006910892406,12.6902008074009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1278",14.2594855801565,7.45926348125622,9.7303398189779,17.5190695179972,0,0,0,0,0,3.86785560105498,2.14464060806731,4.21484082403017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1279",237.370851255304,126.175319279137,68.3851158437165,191.333954695094,12.6165988969391,8.37034014307329,3.1501815999048,12.0634897707059,242.997140423666,247.722908823643,71.0166997519,170.560711449587,19.6372388580969,20.4296233022457,13.5678876994559,7.92327167236401,17.1945462279395,18.4261956160985,10.8756155505161,11.1165557938291,16.921606184882,18.8940757820325,16.0380301986615,19.6664458366951,20.6108026435563,18.7344019665231,19.3623072161143,19.5614571822995
"BB_BR1_CB_S108_L002_1314",28.5605655688081,33.2613034802464,20.5505071538195,29.5067559306373,25.7894822886278,37.7810574068047,24.8958143454266,31.0872069601711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1325",13.7573863122186,11.9795086964378,11.2196747765823,18.9261394394549,0,0,0,0,2.31711126945794,3.75905934794289,3.68093270587709,5.02707976891936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1327",13.4943212638475,10.9461132320854,9.63578871743138,9.14527139031768,0,0,0,0,8.77967112971443,10.0885089139456,6.78383330346836,5.8998148112441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1333",11.4669539347195,12.0947727932826,3.14716977523453,6.67960083183518,2.37269322619357,2.51480201024347,0,2.00435062860312,15.7746472041606,9.08657196015583,4.8961916474998,9.89672130293999,1.94069190517361,1.83960616316737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1344",16.7925499670685,27.8908048147073,7.70969779403828,21.8036389470704,7.49164169854015,6.57166487969593,10.6400455683203,5.14029804452089,7.93702775887392,14.1084597670226,23.8574686488897,18.4587919579243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1347",9.23131670243139,10.6339879460789,10.3248607112425,8.57210289734726,4.44574108292578,8.55736531820384,8.2346225127484,5.49140548101497,0,3.2953254222336,2.41694541607451,2.38440310120792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_134",8.19341808627673,5.32291849195732,42.5013676319096,4.32692453396909,0,2.16901052741699,2.97458548673957,0,0,0,2.54662279592669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1353",13.9904735187992,12.0207804426383,10.3972241191521,18.2566736795573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1392",8.71290752186284,10.2216231178209,2.08855896637963,3.81177649228492,1.80307939607852,0,0,0,5.55372578893787,3.53777962500155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1405",54.0446637944602,66.8191773815139,35.6567932990287,68.672904574543,61.2630323030675,30.6167979297476,13.3768721813409,57.8834450426038,129.441560028913,241.61947028577,172.83863711296,265.256063398141,545.263253954735,619.546542728214,502.257953735423,318.149430138195,400.992527101579,713.781334372965,457.995697827172,391.033072297777,422.335655964803,572.845199674784,407.533682232446,514.075685988254,534.511779475078,436.290959833218,533.072312101195,513.423943187631
