"","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"AN_RF_S2_1_4_S343_L004_1000_fragment_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1003",0,4.29164613524932,0,0,0,2.84959697060138,0,0,0,0,4.53327001054841,4.24871732216173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1008",4.44726171660492,5.44018073005092,6.11998503728102,3.57277086025462,3.30568415283014,2.87765555756985,2.32961612431154,2.96560440392674,3.3399035458576,4.31189422176037,5.20375601051821,6.77525453887768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1041",3.21030096050259,5.51762792211928,3.76964456598857,4.274544169589,2.71350452157762,3.27025126109948,3.01272538387476,3.53282775533378,5.24807186031725,4.09666044229262,4.80385530527467,6.60496824683372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1053",3.98535086448183,4.84147078230541,3.32716488043549,3.96497368738297,8.72531126133134,3.1718694288107,3.6904390859522,12.4553471506812,6.64448576897417,4.73942231637724,4.73690165310776,14.0999986447974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1073",5.93163368705214,2.66053627477799,8.64119133036945,9.85121329852319,4.63948036849521,3.47499980656734,3.51313917242579,3.84263021866965,8.20807750117166,4.84458671982739,4.94342543484336,3.6781606229936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
