"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"BB_BR1_CB_S108_L002_100",8.24042907092218,5.6527788078942,12.1405271879665,16.2920460030155,14.2517443003379,20.6193650567776,50.82864064191,21.3227154073746,0,0,1.81093425655728,2.51422458230619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1010",24.9015745326953,30.2929540636695,9.06980233183481,17.331052635639,5.45655653276422,4.37676071623432,2.95473273980186,3.46036091066166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1014",11.9346472333585,12.9069454249265,7.79670991335405,9.26538348501106,15.1559078201777,21.5557464584728,12.958054925545,14.7129194018445,13.2410200137972,10.4900858560398,26.5827671323003,20.5603977219688,88.0967810982502,80.5466848314283,86.3217958409049,74.4216351658284,61.3759879138965,69.8816163390208,78.9085297819941,64.5869579034929,69.7899951451322,89.0373840638415,59.0987643380653,73.4537390858971,59.7242022987477,57.470795743,54.7533254822459,48.0548598732641
"BB_BR1_CB_S108_L002_1021",5.26424591193221,2.295344282755,5.48033625048496,2.19145927816324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1043",61.7655259044125,62.2995685388027,84.0659914714697,123.923261620698,69.340201132668,77.0289767840991,122.428172075998,120.634673276702,7.67062324089468,9.89785409340412,5.88840159537413,26.0627836340381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1047",14.8983131030939,22.1259863784544,8.67556676690283,13.7853707665427,18.5064273751479,41.658156884082,19.075563796118,37.5475450335153,12.8292719062477,20.5079877793067,18.4224755162846,28.0937381031741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1079",97.8267559917029,84.991269193641,11.8819860888508,42.7914436005098,50.5964274753577,48.1185559722387,12.6282423095173,33.4783445730193,567.21866556276,188.882094414834,67.622396605242,175.355843476459,25.9248043052075,32.5255860601849,13.5273710192939,12.0675329846748,24.4163593976298,29.3377725075365,9.39084282476665,13.4062576354852,21.9578900256277,18.8593929096867,14.9029822014006,17.5527817865869,14.3534416689436,19.5930516899303,14.9745574832191,13.1547529027866
"BB_BR1_CB_S108_L002_1080",53.3487082243049,48.827683906527,12.5590976136038,33.441025606107,14.9093664149077,16.8612096906454,9.9717345668051,18.1850131412264,70.8510379941684,41.5860031751852,50.1788543242498,53.4380372039953,64.3067083223684,77.3014328055774,51.5082807694441,36.3205937406152,55.4680175237115,78.8662899257677,44.9459479832608,39.5405520951362,47.372486093606,56.9947471392508,44.1256618185946,54.4744713640451,47.5590417764272,41.4735393035307,46.2027113519029,48.665857053273
"BB_BR1_CB_S108_L002_1091",9.66322489599847,6.50589738479016,6.70037389312978,19.3968460159597,4.0852202837374,3.88775906866896,0,4.83828191872103,13.7011630659435,28.2388575797399,9.23942784027967,36.7550395379533,3.57193474870321,5.19636074464295,1.82364159956041,2.03774485486844,2.8801660484821,6.25113526079866,0,2.07661913846816,3.73189315576091,6.0633432000978,3.90115416073673,4.99802240174625,5.42760149718486,3.77360381346203,4.75319505782148,4.66510687469258
"BB_BR1_CB_S108_L002_1112",9.14524006489857,6.27776039238611,7.62811897232301,6.27781137031802,0,3.37176152960412,0,2.25639548155473,3.94119777419674,3.52800866320514,0,4.47725294384684,3.29450081210619,0,3.79495497951776,3.10798237688561,4.05913446900099,0,0,0,3.89618125676425,3.52812804048354,2.62120431636566,3.68377847623435,0,4.25002097239522,3.2919650529531,3.2368517282819
"BB_BR1_CB_S108_L002_1115",7.93512390921547,7.12362921829225,6.52622150983616,6.91528876967475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_113",9.24752358790739,7.93834588939621,3.53202129123192,7.30709591493413,2.31777909306343,2.3611707602381,0,1.60178101864522,96.3817380782343,27.7247435414826,2.11110615155865,4.50365589853782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1147",23.9622106792194,12.3710345925735,4.08175557901002,11.7633568465037,12.8077163853511,9.00498774163416,3.4741049801814,14.2670065329341,5.66977440455282,2.26574104635689,2.16151807717689,2.74767678905564,11.424837649681,14.3475705417982,5.79129843793798,4.15144395371892,10.3553860133984,12.0945194257826,5.84997981149131,4.20220852097891,6.71202211888449,9.61286858719653,7.62911935675016,7.52174189865253,6.12955007830553,6.408911778642,6.75256959937956,6.65966294932058
"BB_BR1_CB_S108_L002_1149",20.4264186985802,14.6875672684013,9.10580818632366,12.5323914550072,10.3035428489539,12.0406974276064,8.62157910222056,10.9857029911185,8.97217518079626,7.33424953632074,5.05858760146448,7.67264572307304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1157",21.84231782472,30.8256739685354,84.9937912894454,20.7291318582384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1159",22.2478296452091,16.3129223877177,6.32337274818661,15.634078586077,4.16422249955745,2.69253749778991,0,4.62491285635713,34.1491329862263,26.6545355926206,31.3045981072948,29.5027313654556,12.6572956054605,17.046091105255,19.649373858667,12.5553085076031,10.4138059292785,18.6991157753852,17.4659393119398,14.1122072399031,9.48454654635328,12.0580211668751,10.3577372727857,12.2488061909448,9.84626712736278,9.81071784550132,10.2394993462831,10.6849697508087
"BB_BR1_CB_S108_L002_1161",10.521355408281,10.0555824808265,14.9878943650461,5.56443800743957,0,3.04719676324507,2.61621079296734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1162",9.87002691722242,11.4140137963187,10.6995778872508,15.3931328547231,40.4425107387059,65.3471395945566,99.0968454839768,48.5363285752218,0,1.67643994255699,1.91579182235502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1174",26.447847892584,23.5931286047678,34.7711279148768,53.2393486125407,17.7872055642708,12.2329210940731,13.8928304486008,16.1407658208966,0,0,2.0939263678899,2.34315336587539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1196",16.5496986424255,12.5866687696123,18.1654283831863,13.2108626895104,19.5769809428051,25.6218617660456,25.1067346429238,15.7136319181142,12.6576982822743,9.25927719358786,21.4464060806731,12.4473914394141,24.380065236798,27.4502092901107,26.5621850717078,22.4147594460112,21.7915231204194,33.3070865911177,23.9967252326708,21.8323076059309,23.8953295515205,22.6359545361312,29.3233134369913,31.8496743629941,23.7028154821543,22.6941876147732,27.4049067340197,30.0362371832278
"BB_BR1_CB_S108_L002_1203",102.193817979315,144.750442456623,46.7920729570648,125.802156902995,54.9276654503077,39.4815611607186,16.31384803309,36.1975115463887,311.459175883472,328.76278088854,156.408057634741,349.914609747251,54.9934703350077,76.7724346134102,29.4098343704142,30.2572155837868,47.9064959360983,72.8451840164681,25.4118041509324,32.6593903923851,30.271660766959,31.0922889289048,43.1876919415079,47.4444537087884,29.9336624678238,31.1239774936846,42.3936275194941,41.700949161297
"BB_BR1_CB_S108_L002_1217",29.3128933136903,35.4544587634884,46.1187462538935,35.6394910370564,0,0,0,0,0,2.39796215558477,3.70331888217093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1255",33.3681084253111,28.019015737225,8.84040715445329,18.188127192684,15.2909701045735,20.3121194285828,14.8869552431398,17.3913727569898,3.6875402063949,2.89363726643558,2.26253872751956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1274",6.49325745179226,5.61962271436967,2.67630171843604,4.39651489098334,12.033579225204,7.70835362927483,4.42510865622907,10.0553210938479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1278",11.9270538260396,5.68179721124217,7.47397474126046,14.290221458072,0,0,0,0,0,3.31705322832385,0,4.323399868011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1279",199.969127718369,93.7293467235359,50.5506884593136,157.248893740577,11.3776022162233,7.45541114577289,2.89070863283551,9.95338677752732,234.010470816918,206.922440031873,65.1414492290005,171.026845289529,14.8105515159948,16.7734256852561,10.5271456800246,6.84259863888693,12.5487185146643,15.3320552930041,8.22078255181696,8.12423596094648,14.730765441458,15.6771259798319,15.0785772422567,17.2949017418687,15.4874231917615,16.2907312141846,14.9496794546367,15.705242470353
"BB_BR1_CB_S108_L002_1314",23.878677078286,24.8535966333835,15.4562897078163,24.0761777580755,23.5105931379034,34.1658435710435,22.5332520224318,25.067475441484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1325",11.5076700622229,8.83288886936456,8.37256370846842,15.5111641091262,0,0,0,0,2.22596836751977,3.08049822698225,3.48439132868708,5.03705131140848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1327",11.3772805274114,8.31847237838751,7.26296665457196,7.51922876040141,0,0,0,0,8.44568488056165,8.51274479594777,6.31498133660249,5.9127515557607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1333",9.53732265280389,9.00805719069597,2.36353189048587,5.4296304094452,2.17454910264598,2.26448134120234,0,0,15.1610038159885,7.62926851535382,4.60922486133777,9.91742135740189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1344",13.8708090087797,21.1200328904899,5.70963286198636,17.7016176642443,6.91017039399423,6.00515367152991,9.57591054328182,4.03157490639797,7.59165142171844,12.1739639133026,21.9599772532494,18.5141325975991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1347",7.70900582660094,8.08466623191587,7.95424398104405,7.11101195681267,4.02866734683398,7.90551613640399,7.47824822434723,4.28667903784293,0,2.7450389998364,2.1838811267961,2.39544487125169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_134",7.00716811996471,4.01482859013928,31.7851156081221,3.61186215174556,0,1.99095118865054,2.6567166019423,0,0,0,2.37700075681494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1353",11.7505509689202,8.97933340423244,7.72269442225712,14.7305424434873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1392",7.32755808922549,7.7031554968244,1.64380906422921,3.10533919799338,0,0,0,0,5.26152566489027,2.85262815261015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1405",45.7459233941479,50.0846002152865,26.0988247337028,55.2152173609305,55.6042184405504,27.5359561361689,12.4067612437784,47.0555556234194,123.849746799128,202.064808263895,157.847893264869,265.871817746746,406.656360435151,508.370649993569,398.689073205929,279.166758477939,289.954559865264,593.382375312817,341.045746009493,274.258782533191,368.682434286638,477.006364241658,376.274189088869,441.632255920655,394.598916019503,373.732205237015,403.721736472523,410.130284515933
"BB_BR1_CB_S108_L002_1406",6.47812306879545,7.99413272960846,2.98913674595742,3.13260205007769,3.68659627415701,3.58631307242065,0,0,5.97712257278462,5.16633866561429,5.02798478452241,3.26575037191848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1412",10.2086394319353,9.09307909098046,3.1501478535741,4.80729504141008,0,0,0,0,2.67068224061241,2.21055487676128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1413",36.9424845854021,48.1901755747137,14.3818188101831,28.3396874274126,86.3638643263481,65.5873986356563,21.00432759002,61.7968498528052,23.3611175624317,18.2791067123182,4.61188587433688,10.4660408210066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1443",7.9228538851321,5.39190870116034,1.52262542580204,2.97509318437208,30.2001540984986,11.629823791297,5.433057245369,11.0877134186034,5.87534338224974,3.02850556651063,2.47548936984392,3.60632129143289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1457",21.9400426511532,23.1904942923181,1.79059106431907,12.4321996357412,89.2688068114073,115.728107481173,44.4021313114886,54.1087098949333,57.134194598922,47.0102520061497,40.5881256252512,36.1769660419202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1465",13.679903771497,12.704074051322,9.62906495528875,20.0299153064683,5.06769204575597,4.84940612427304,2.50921222037971,5.68695887137207,47.8259492378677,68.9925434890665,37.7979879515777,68.6189800320807,27.5545103515431,34.3877135361412,18.5441909478794,14.5904767898874,23.0206469973617,38.3091141219311,17.1321050989453,15.2798394302776,23.628432521641,26.0846415633394,29.0178891155693,34.8722980499271,25.6246449879776,23.3590323887344,29.2086386156489,31.8864883826379
"BB_BR1_CB_S108_L002_147",12.9467972214174,13.5918635057853,19.9481893667741,20.5959541368049,7.41413820929034,6.92329707843627,5.18950668427941,5.68398370547319,0,2.87058068510539,0,2.09953199318529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1485",13.8984340571822,15.4800223251109,13.8649359080131,7.46235991769459,8.83922164994915,5.769867872068,3.4616463124094,2.40365936306056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1513",15.988862675558,11.2394591846204,21.2076746437621,13.116850305479,4.10782865586254,5.56065801190852,7.41031392467755,3.42313747721527,8.25256672586259,7.53354622026056,19.3602132505408,8.6150201359211,53.776856173509,62.6784681134805,92.9096021493982,79.0220077938902,62.3533648275681,56.5856740368144,78.3124108825693,66.1087941106158,76.1465738149736,90.3204185167288,66.6010498802044,72.294218191457,63.2711039698827,59.7313914795873,56.7045356170676,55.0962945769013
"BB_BR1_CB_S108_L002_1515",30.7264085342814,24.1328286635115,12.4603946610776,17.4904729961295,208.151716544521,167.328064068562,104.436088932397,153.648866599107,0,0,0,2.05557116047224,2.63811669652088,3.8112041995896,2.26638065933585,2.18738070155075,2.75978967581362,2.87379949050441,2.31654887457969,0,1.80713196498395,2.52524642923468,2.59155567232539,2.84564787951127,1.92823623311855,0,2.46758843884452,2.24920996230143
"BB_BR1_CB_S108_L002_1516",11.0607484660604,14.2875953860736,10.4024373794722,7.19852997028377,0,0,1.87292186012833,0,23.453173833092,16.7204827081697,32.3759246314352,20.1932602344941,0,0,2.21561474439705,0,0,0,0,2.44384731995843,0,0,0,1.75664420654162,0,1.55144418347749,0,0
"BB_BR1_CB_S108_L002_1521",10.9337685180254,11.5167589418581,4.39988313437997,8.668972863568,37.6218014187841,24.2888688903622,8.74427393589665,20.6021300315072,0,1.83401340897101,0,2.32183347584303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1525",10.6241948698965,7.05229385868902,5.59588675417498,7.135368532482,1.63003772644258,1.77561006676005,0,1.56604663182451,4.9224832882077,5.7730752343602,4.81836482808788,5.80368090146774,11.4049239398817,11.711202845517,7.70288806646071,6.82544060983164,10.3409333302756,15.5630862500149,7.85980165948286,7.69664123533874,11.0428683522762,12.0349798863804,12.2887364584663,13.9620715966235,12.5779153231245,11.3389350489799,12.7322919460037,13.2558160943376
